Date,maxtemp,pred_maxtemp,class_true,class_pred
2018-08-21,32.0,32.47,mediana,mediana
2018-08-22,33.0,33.42,mediana,mediana
2018-08-23,37.0,34.81,alta,alta
2018-08-24,29.0,28.21,baja,baja
2018-08-25,33.0,32.29,mediana,mediana
2018-08-26,32.0,31.44,mediana,mediana
2018-08-27,21.0,22.59,baja,baja
2018-08-28,25.0,24.21,baja,baja
2018-08-29,26.0,25.28,baja,baja
2018-08-30,20.0,21.57,baja,baja
2018-08-31,20.0,20.41,baja,baja
2018-09-01,23.0,23.19,baja,baja
2018-09-02,22.0,23.45,baja,baja
2018-09-03,31.0,31.03,mediana,mediana
2018-09-04,28.0,29.0,baja,baja
2018-09-05,31.0,30.28,mediana,mediana
2018-09-06,31.0,31.55,mediana,mediana
2018-09-07,33.0,33.3,mediana,mediana
2018-09-08,34.0,33.69,mediana,mediana
2018-09-09,35.0,34.73,alta,alta
2018-09-10,31.0,31.56,mediana,mediana
2018-09-11,36.0,33.1,alta,mediana
2018-09-12,34.0,34.8,mediana,alta
2018-09-13,36.0,36.07,alta,alta
2018-09-14,31.0,31.65,mediana,mediana
2018-09-15,32.0,32.2,mediana,mediana
2018-09-16,34.0,35.4,mediana,alta
2018-09-17,30.0,30.73,baja,mediana
2018-09-18,32.0,32.74,mediana,mediana
2018-09-19,35.0,34.85,alta,alta
2018-09-20,36.0,36.24,alta,alta
2018-09-21,36.0,35.58,alta,alta
2018-09-22,31.0,31.05,mediana,mediana
2018-09-23,34.0,33.88,mediana,mediana
2018-09-24,37.0,35.88,alta,alta
2018-09-25,40.0,38.36,alta,alta
2018-09-26,37.0,33.91,alta,mediana
2018-09-27,32.0,31.16,mediana,mediana
2018-09-28,38.0,36.67,alta,alta
2018-09-29,37.0,35.96,alta,alta
2018-09-30,37.0,36.87,alta,alta
2018-10-01,35.0,35.22,alta,alta
2018-10-02,34.0,35.67,mediana,alta
2018-10-03,37.0,36.26,alta,alta
2018-10-04,34.0,34.53,mediana,alta
2018-10-05,33.0,32.35,mediana,mediana
2018-10-06,33.0,33.34,mediana,mediana
2018-10-07,37.0,35.01,alta,alta
